contest_id,problem_id,total_count,gnu_cpp,ms_cpp,gnu_c,gnu_cpp0x,gnu_cpp11,gnu_c11,gnu_cpp14,gnu_cpp_diagnostics,clangpp_17_diagnostics,gnu_cpp17
791,a,16371,3228,751,825,0,4421,675,5398,29,17,1027
1087,f,34,0,0,0,0,14,0,9,0,0,11
1087,a,3258,0,74,0,0,800,51,1410,0,1,922
1087,e,106,0,0,0,0,50,0,28,0,0,28
1087,b,2988,0,32,0,0,761,21,1278,0,1,895
1087,c,1782,0,12,0,0,455,3,768,0,1,543
1087,d,1414,0,8,0,0,388,0,564,0,1,453
956,e,177,25,0,0,0,65,0,76,0,0,11
956,b,637,101,3,1,0,206,0,298,0,0,28
956,f,3,1,0,0,0,0,0,1,0,0,1
956,a,653,99,4,0,0,218,2,302,0,0,28
956,c,603,93,4,0,0,190,0,291,0,0,25
956,d,308,52,0,0,0,98,0,134,0,0,24
476,a,12446,5345,734,741,452,2483,166,2064,12,5,444
492,a,13245,5762,1054,976,586,2510,215,1749,5,0,388
492,b,16009,6071,805,507,486,3839,65,3462,2,6,766
141,a,13290,4333,911,697,174,3198,217,3084,17,4,655
1063,f,143,0,0,0,0,52,0,51,0,0,40
1063,a,1347,0,18,0,0,527,6,458,0,2,336
1063,e,120,0,0,0,0,51,0,44,0,0,25
1063,b,1136,0,6,0,0,478,0,391,0,0,261
1063,c,829,0,2,0,0,336,0,298,0,0,193
1063,d,243,0,0,0,0,82,0,92,0,0,69
136,a,17443,5361,1162,1044,209,4478,400,3828,16,10,935
270,a,10183,3521,500,763,126,2392,205,2161,8,3,504
887,b,3713,636,82,30,0,997,10,1891,2,1,64
887,e,79,11,0,0,0,26,0,39,0,0,3
887,a,6688,1407,224,130,0,1650,36,3114,13,2,112
887,f,65,6,1,0,0,23,0,34,0,0,1
887,d,375,62,4,0,0,97,0,203,0,0,9
887,c,2141,342,39,14,0,609,3,1094,1,1,38
913,f,239,32,2,0,0,73,0,123,0,0,9
913,a,9637,1428,216,315,0,2321,89,4823,89,0,356
913,e,546,53,3,1,0,164,0,311,0,0,14
913,b,6871,906,109,51,0,1770,15,3762,21,0,237
913,h,63,5,0,0,0,14,0,42,0,0,2
913,g,72,9,0,0,0,19,0,38,0,0,6
913,c,4258,582,68,12,0,1124,4,2334,16,0,118
913,d,3002,326,49,2,0,864,3,1687,0,0,71
964,d,696,90,1,0,0,190,0,329,0,0,86
964,c,1310,178,8,0,0,353,2,602,0,0,167
964,b,3093,450,51,13,0,799,5,1389,4,0,382
964,e,54,11,1,0,0,19,0,14,0,0,9
964,a,5249,840,127,136,0,1266,42,2183,19,1,635
1051,f,1181,0,7,0,0,508,1,384,0,0,281
1051,a,5086,0,66,0,0,1501,45,2238,0,0,1236
1051,e,383,0,3,0,0,125,1,157,0,0,97
1051,b,6059,0,82,0,0,1745,69,2660,0,0,1503
1051,g,77,0,0,0,0,38,0,27,0,0,12
1051,c,4241,0,40,0,0,1234,16,1902,0,0,1049
1051,d,3003,0,35,0,0,969,9,1238,0,0,752
919,d,3543,475,34,1,0,1011,0,1873,0,0,149
919,c,5739,822,77,46,0,1390,17,3220,0,0,167
919,a,8727,1575,261,235,0,2036,68,4219,42,2,289
919,f,173,19,2,0,0,63,0,82,0,0,7
919,b,9291,1534,204,183,0,2133,115,4608,22,2,490
919,e,1069,147,10,1,0,295,1,565,0,0,50
980,c,2761,314,43,7,0,735,2,1177,0,0,483
980,d,1226,146,3,0,0,328,0,502,0,0,247
980,e,1200,136,21,0,0,400,0,436,0,0,207
980,b,3202,380,55,18,0,839,4,1347,1,0,558
980,f,86,18,0,0,0,28,0,28,0,0,12
980,a,6397,857,135,125,0,1578,30,2698,2,0,972
82,a,13793,6400,1535,926,264,2541,176,1580,11,1,359
1007,a,1577,314,43,0,0,371,3,525,0,2,319
1007,b,447,37,4,0,0,121,0,189,0,0,96
1007,e,25,0,1,0,0,10,0,10,0,0,4
1007,d,93,2,0,0,0,23,0,38,0,0,30
1007,c,105,10,1,0,0,33,0,41,1,0,19
1070,g,321,0,6,0,0,104,0,126,0,0,85
1070,m,32,0,0,0,0,12,0,16,0,0,4
1070,j,251,0,3,0,0,95,0,103,0,0,50
1070,d,1745,0,39,0,0,557,15,643,0,0,491
1070,i,213,0,1,0,0,57,0,96,0,0,59
1070,c,744,0,4,0,0,262,0,274,0,0,204
1070,k,1667,0,39,0,0,574,13,597,0,1,443
1070,a,847,0,8,0,0,301,0,303,0,0,235
1070,l,88,0,0,0,0,34,0,31,0,0,23
1070,f,1291,0,15,0,0,435,10,467,0,1,363
1070,b,205,0,6,0,0,54,0,85,0,0,60
